discid,n,ttitle,extt
f1125e11,6,Shogun / Amplify (Radio Edit),""
f1125e11,7,Protoculture / Cobalt (Radio Edit),""
f1125e11,8,Emma Hewitt / Miss You Paradise (Shogun Remix Radio Edit),""
f1125e11,9,Ruben de Ronde & Woody van Eyden / Devan (Radio Edit),""
f1125e11,10,Matt Darey / Hold On (Radio Edit),""
f1125e11,11,Markus Schulz & Dennis Sheperd / Go! (Radio Edit),""
f1125e11,12,Roger Shah feat. Inger Hansen / Dance With Me (Tomas Heredia Radio Edit),""
f1125e11,13,Heatbeat / Chow Mein (Radio Edit),""
f1125e11,14,Lemon & Einar K presents Capa / Bit By ... (Radio Edit),""
f1125e11,15,Aly & Fila vs. Jwaydan / Coming Home (Radio Mix),""
f1125e11,16,Eco / Echoes (Radio Edit),""
f312b010,0,メモリーズ･オブ･リリアン,""
f312b010,1,ランダム･キス,""
f312b010,2,フェアウェル･トゥ･ガン,""
f312b010,3,キンダーガーデン･ブルース,""
f312b010,4,ジャズ･ミー･ロウ･ダウン,""
f312b010,5,ストムピン･アット･ザ･サンボア,""
f312b010,6,ラヴ･イン･ダークネス,""
f312b010,7,ロリータ,""
f312b010,8,メモリーズ･オブ･リリアン,""
f312b010,9,ランダム･キス,""
f312b010,10,フェアウェル･トゥ･ガン,""
f312b010,11,キンダーガーデン･ブルース,""
f312b010,12,ジャズ･ミー･ロウ･ダウン,""
f312b010,13,ストムピン･アット･ザ･サンボア,""
f312b010,14,ラヴ･イン･ダークネス,""
f312b010,15,ロリータ,""
fb0d3e13,0,"No. 52, Sinfonia",""
fb0d3e13,1,"No. 53, Recitativo",""
fb0d3e13,2,"No. 54, Aria ",""
fb0d3e13,3,"No. 54a, Sataband",""
fb0d3e13,4,"No. 54b, Aria: Sarabanda Piacere",""
fb0d3e13,5,"No. 55, Recitativo",""
fb0d3e13,6,"No. 56, Aria",""
fb0d3e13,7,"No. 57, Recitaaativo",""
fb0d3e13,8,"No. 58, Aria",""
fb0d3e13,9,"No. 59, Recitativo",""
fb0d3e13,10,"No. 60, Aria",""
fb0d3e13,11,"No. 61, Accompaganto",""
fb0d3e13,12,"No. 62, Aria",""
fb0d3e13,13,"No. 63, Recitativo",""
fb0d3e13,14,"No. 64, Aria",""
fb0d3e13,15,"No. 65, Accompaganto",""
fb0d3e13,16,"No. 66, Aria",""
fb0d3e13,17,"No. 67, Concerto per Organo",""
fb0d3e13,18,"No. 68, Coro",""
